Gene1	Gene2
AAH1	HAC1
AAH1	HIR2
AAH1	HMO1
AAH1	HPT1
AAH1	HSP30
AAH1	HST3
AAH1	HXT10
AAH1	IKI1
AAH1	ILM1
AAH1	ILV3_damp
AAH1	IRC23
AAH1	IRC3
AAH1	KES1
AAH1	KRE1
AAH1	KRE11
AAH1	MCM22
AAH1	MET12
AAH1	MET16
AAH1	MET32
AAH1	MMF1_damp
AAH1	NCE101
AAH1	NCS6
AAH1	NDI1
AAH1	NEW1
AAH1	NOB1_damp
AAH1	NOP12
AAH1	NQM1
AAH1	NRD1_damp
AAH1	NUP133
AAH1	OST3
AAH1	PAA1
AAH1	PAH1
AAH1	PAP2
AAH1	PBS2
AAH1	PCS60
AAH1	PDR12
AAH1	PET127
AAH1	PHB1
AAH1	PHO12
AAH1	PHO13
AAH1	PHO90
AAH1	PMA1_damp
AAH1	PMP3
AAH1	PRE9
AAH1	PRR1
AAH1	PTC7
AAH1	QDR1
AAH1	RAD23
AAH1	RGA2
AAH1	RHR2
AAH1	RMA1
AAH1	RMP1_damp
AAH1	RPL13A
AAH1	RPL16A
AAH1	RPL21B
AAH1	RPL23A
AAH1	RPL35B
AAH1	RPL8A
AAH1	RPN10
AAH1	RPP2A
AAH1	RPP2B
AAH1	RPS19B
AAH1	RPT2_damp
AAH1	SEC22
AAH1	SFT2
AAH1	SGF73
AAH1	SHE4
AAH1	SHP1
AAH1	SKI2
AAH1	SKI7
AAH1	SKN7
AAH1	SKT5
AAH1	SLT2
AAH1	SSD1
AAH1	STI1
AAH1	SUR2
AAH1	SVF1
AAH1	SWF1
AAH1	SWI3
AAH1	THG1_damp
AAH1	THI74
AAH1	TIR4
AAH1	TLG2
AAH1	TOF1
AAH1	TOM1
AAH1	TOR2_damp
AAH1	TPM2
AAH1	UBA4
AAH1	UBP14
AAH1	UBP6
AAH1	URM1
AAH1	VPS72
AAH1	VPS9
AAH1	VTC1
AAH1	WHI2
AAH1	YCR016W
AAH1	YEL020C
AAH1	YLL054C
AAH1	abd1-5
AAH1	act1-129
AAH1	act1-136
AAH1	arc15-10
AAH1	gpi8-ts
AAH1	gwt1-20
AAH1	myo2-16
AAH1	pkc1-4
AAH1	pol5-1
AAH1	prp4-1
AAH1	rpn11-14
AAH1	rpn12-1
AAH1	rsp5-3
AAH1	scc2-4
AAH1	sds22-5
AAH1	sec11-2
AAH1	sec61-2
AAH1	sec9-4
AAH1	srm1-ts
AAH1	taf5-3
AAH1	taf6-ts
AAH1	taf8-7
AAH1	tap42-11
AAH1	tsc11-1
AAH1	wbp1-2
AAH1	ycs4-1
AAP1	ADH2
AAP1	AIM44
AAP1	ALT1
AAP1	APL1
AAP1	ARP6
AAP1	BCS1
AAP1	BCY1
AAP1	BDH1
AAP1	BIM1
AAP1	BUB3
AAP1	BUD6
AAP1	CDA2
AAP1	CIN2
AAP1	CSG2
AAP1	CTF18
AAP1	DCI1
AAP1	DLD2
AAP1	DYN3
AAP1	ECM2
AAP1	EDE1
AAP1	ESC1
AAP1	FAA1
AAP1	FIN1
AAP1	FRE1
AAP1	FYV7
AAP1	GIM5
AAP1	HST4
AAP1	HTZ1
AAP1	ILM1
AAP1	IRS4
AAP1	KIP3
AAP1	LEA1
AAP1	LRS4
AAP1	MAE1
AAP1	MCM22
AAP1	MNT2
AAP1	MPE1_damp
AAP1	MSP1
AAP1	PAA1
AAP1	PHD1
AAP1	PHO80
AAP1	POL4
AAP1	RHO4
AAP1	RIA1
AAP1	RPL14A
AAP1	RPL19B
AAP1	RPN4
AAP1	RPS18B
AAP1	RVB2_damp
AAP1	RVS167_damp
AAP1	SDO1_damp
AAP1	SEH1
AAP1	SLX5
AAP1	SNO4
AAP1	SST2
AAP1	THI13
AAP1	TOR1
AAP1	TSC13_damp
AAP1	UME6
AAP1	VMA21
AAP1	VPS64
AAP1	WHI3
AAP1	YBL028C
AAP1	YBP2
AAP1	YKL033W-A
AAP1	YKL066W
AAP1	YKL069W
AAP1	YLR040C
AAP1	YME1
AAP1	YMR210W
AAP1	YPL109C
AAP1	YPR015C
AAP1	YRO2
AAP1	YUR1
AAP1	ZRT3
AAP1	cdc6-1
AAP1	duo1-2
AAP1	orc2-4
AAP1	pkc1-ts
AAP1	pol12-ts
AAP1	scc2-4
AAP1	sec11-2
AAP1	sec13-1
AAP1	smc3-42
AAP1	stu1-5
AAT1	ACH1
AAT1	AEP2
AAT1	AFG3
AAT1	ALD5
AAT1	APL4
AAT1	ARD1
AAT1	ATG1
AAT1	AVT5
AAT1	BUL1
AAT1	CBS2
AAT1	COX23
AAT1	COX6
AAT1	DOT1
AAT1	DPB3
AAT1	DPH5
AAT1	DYS1_damp
AAT1	EDS1
AAT1	ERD1
AAT1	ETR1
AAT1	EXG1
AAT1	FAR10
AAT1	FAR3
AAT1	GET1
AAT1	GET2
AAT1	GET3
AAT1	GGA2
AAT1	GLE2
AAT1	GYP6
AAT1	HAP3
AAT1	HIR1
AAT1	INM2
AAT1	JNM1
AAT1	KGD2
AAT1	LIP2
AAT1	MDM31
AAT1	MMS1
AAT1	MSD1
AAT1	NRD1_damp
AAT1	NUP60
AAT1	PAC11
AAT1	PBS2
AAT1	PST2
AAT1	PTH1
AAT1	RAD57
AAT1	RCO1
AAT1	RHR2
AAT1	RLF2
AAT1	RML2
AAT1	RPC53_damp
AAT1	RTC3
AAT1	RTT103
AAT1	RTT107
AAT1	SAE2
AAT1	SCS3
AAT1	SDH4
AAT1	SEM1
AAT1	SFA1
